id;name;source_id;node_id;lat;long;country_code;is_bothDirection;lat_mean;length_km;long_mean;max_pressure_bar;num_compressor;start_year;Capacity_GWh_h;diameter_mm
INET_PL_441;Montalbano_GaglianoSparacollo_2;['INET_PL_441'];['INET_N_662', 'INET_N_664'];[37.684813, 38.022844];[14.652717, 15.013029];['IT', 'IT'];0.0;37.8538285;49.143129048263944;14.832873;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_443;Montalbano_GaglianoSparacollo_3;['INET_PL_443'];['INET_N_662', 'INET_N_664'];[37.684813, 38.022844];[14.652717, 15.013029];['IT', 'IT'];0.0;37.8538285;49.143129048263944;14.832873;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_4450;Montesa_Ibiza0;['INET_PL_445'];['INET_N_336', 'INET_N_333'];[38.959997, 38.868056];[-0.616608, -0.026709];['ES', 'ES'];0.0;38.914026500000006;52.06790920178066;-0.3216585;75.0;0.0;1983;19.05442835249041;
INET_PL_4451;Montesa_Ibiza1;['INET_PL_445'];['INET_N_333', 'INET_N_337'];[38.868056, 39.0];[-0.026709, 1.46];['ES', 'ES'];0.0;38.934028;129.4665771162366;0.7166454999999999;75.0;0.0;1983;19.05442835249041;
INET_PL_4480;Montesa_Tivisa0;['INET_PL_448'];['INET_N_336', 'INET_N_339'];[38.959997, 39.533233];[-0.616608, -0.457085];['ES', 'ES'];0.0;39.246615000000006;65.2248089736921;-0.5368465;75.0;0.0;1983;7.5210199004975085;450.48627450980393
INET_PL_4481;Montesa_Tivisa1;['INET_PL_448'];['INET_N_339', 'INET_N_345'];[39.533233, 41.041];[-0.457085, 0.7036];['ES', 'ES'];0.0;40.287116499999996;194.48104751241567;0.12325749999999999;75.0;0.0;1983;7.5210199004975085;721.0089552238804
INET_PL_451;MontesanoSullaMarcellana_Melizzano_1;['INET_PL_451'];['INET_N_691', 'INET_N_678'];[41.161769, 40.281815];[14.505163, 15.667287];['IT', 'IT'];0.0;40.721792;138.47970866938005;15.086224999999999;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_453;MontesanoSullaMarcellana_Melizzano_2;['INET_PL_453'];['INET_N_691', 'INET_N_678'];[41.161769, 40.281815];[14.505163, 15.667287];['IT', 'IT'];0.0;40.721792;138.47970866938005;15.086224999999999;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_455;Montoir_Donges_Extra;['INET_PL_455'];['INET_N_436', 'INET_N_437'];[47.32, 47.332];[-2.14, -2.069];['FR', 'FR'];0.0;47.326;5.516908155026602;-2.1045;75.0;0.0;1983;7.5210199004975085;
INET_PL_457;Morano_Tarsia_1;['INET_PL_457'];['INET_N_672', 'INET_N_673'];[39.589859, 39.843546];[16.251025, 16.135949];['IT', 'IT'];0.0;39.7167025;29.885965571778684;16.193486999999998;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_459;Morano_Tarsia_2;['INET_PL_459'];['INET_N_672', 'INET_N_673'];[39.589859, 39.843546];[16.251025, 16.135949];['IT', 'IT'];0.0;39.7167025;29.885965571778684;16.193486999999998;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_461;Morano_Tarsia_3;['INET_PL_461'];['INET_N_672', 'INET_N_673'];[39.589859, 39.843546];[16.251025, 16.135949];['IT', 'IT'];0.0;39.7167025;29.885965571778684;16.193486999999998;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_463;Mortara_Alessandria_1;['INET_PL_463'];['INET_N_735', 'INET_N_744'];[44.90008, 45.252239];[8.60944, 8.737499];['IT', 'IT'];0.0;45.0761595;40.44143153064848;8.6734695;70.0;0.0;1983;8.375;762.0
INET_PL_465;Mortara_Alessandria_2;['INET_PL_465'];['INET_N_735', 'INET_N_744'];[44.90008, 45.252239];[8.60944, 8.737499];['IT', 'IT'];0.0;45.0761595;40.44143153064848;8.6734695;64.0;0.0;1983;5.199999999999999;609.6
INET_PL_467;Mortara_Cervignano_1;['INET_PL_467'];['INET_N_751', 'INET_N_744'];[45.372148, 45.252239];[9.424874, 8.737499];['IT', 'IT'];0.0;45.31219350000001;55.396943498191504;9.081186500000001;70.0;0.0;1983;8.375;762.0
